Country,FertilityRate_1960,FertilityRate_2023
Aruba,4.567,1.602
Africa Eastern and Southern,6.65031036894191,4.22377147390389
Afghanistan,7.282,4.84
Africa Western and Central,6.46888704883706,4.49770681255146
Angola,6.708,5.124
Albania,6.383,1.348
Andorra,2.545,1.082
United Arab Emirates,6.499,1.2
Argentina,3.136,1.5
Armenia,4.786,1.9
American Samoa,6.578,2.286
Antigua and Barbuda,4.602,1.578
Australia,3.453,1.5
Austria,2.69,1.32
Azerbaijan,5.878,1.55
Burundi,7.003,4.878
Belgium,2.54,1.47
Benin,6.282,4.556
Burkina Faso,6.248,4.186
Bangladesh,6.742,2.163
Bulgaria,2.31,1.81
Bahrain,7.262,1.824
"Bahamas, The",5.093,1.373
Bosnia and Herzegovina,3.963,1.486
Belarus,2.67,1.208
Belize,6.5,2.007
Bermuda,3.63,1.401
Bolivia,6.273,2.547
Brazil,6.051,1.619
Barbados,4.706,1.708
Brunei Darussalam,7.322,1.747
Bhutan,6.704,1.462
Botswana,6.595,2.732
Central African Republic,5.948,6.012
Canada,3.811,1.26
Central Europe and the Baltics,2.49178453894492,1.40720856621525
Switzerland,2.44,1.33
Channel Islands,2.34,1.37
Chile,4.697,1.167
China,4.451,0.999
Cote d'Ivoire,7.691,4.283
Cameroon,5.725,4.322
"Congo, Dem. Rep.",6.105,6.051
"Congo, Rep.",6.085,4.157
Colombia,6.735,1.645
Comoros,6.792,3.878
Cabo Verde,6.885,1.522
Costa Rica,6.712,1.33
Caribbean small states,5.85023592610682,1.83168008600287
Cuba,4.129,1.439
Curacao,5.13,1.2
Cayman Islands,4.713,1.531
Cyprus,3.393,1.389
Czechia,2.09,1.45
Germany,2.37,1.39
Djibouti,6.847,2.609
Dominica,6.178,1.484
Denmark,2.57,1.5
Dominican Republic,7.555,2.243
Algeria,7.503,2.766
Early-demographic dividend,6.1536669226445,2.29816654586579
East Asia & Pacific,4.552018956377,1.33558396383792
Europe & Central Asia,2.83848368529264,1.5788144791023
Ecuador,6.721,1.823
"Egypt, Arab Rep.",6.793,2.75
Euro area,2.59975818607113,1.37673347562412
Eritrea,6.483,3.713
Spain,2.86,1.12
Estonia,1.98,1.31
Ethiopia,6.514,3.989
European Union,2.57148406298234,1.38605100363443
Fragile and conflict affected situations,5.58956986236962,4.18166207272726
Finland,2.72,1.26
Fiji,6.364,2.281
France,2.85,1.66
Faroe Islands,3.854,1.8586
"Micronesia, Fed. Sts.",6.742,2.748
Gabon,4.422,3.647
United Kingdom,2.69,1.56
Georgia,2.942,1.81
Ghana,6.89,3.397
Gibraltar,3.102,1.888
Guinea,6.112,4.217
"Gambia, The",6.246,4.006
Guinea-Bissau,5.921,3.836
Equatorial Guinea,5.653,4.081
Greece,2.23,1.32
Grenada,6.743,1.487
Greenland,6.686,1.769
Guatemala,6.999,2.311
Guam,5.969,2.781
Guyana,6.331,2.412
"Hong Kong SAR, China",5.085,0.751
Honduras,7.458,2.5
Heavily indebted poor countries (HIPC),6.64868413769492,4.47735901262395
Croatia,2.239,1.46
Haiti,6.178,2.656
Hungary,2.02,1.51
IBRD only,4.96376496065839,1.71719049984257
IDA & IBRD total,5.24414761626824,2.30805111008659
IDA total,6.59326582725325,3.84213231871592
IDA blend,6.64284008053129,3.90689986940718
Indonesia,5.505,2.127
IDA only,6.57083215392191,3.80843381423313
Isle of Man,2.682,1.548
India,5.921,1.975
Ireland,3.78,1.5
"Iran, Islamic Rep.",7.519,1.695
Iraq,5.3,3.249
Iceland,4.29,1.59
Israel,3.866,2.85
Italy,2.4,1.2
Jamaica,5.538,1.358
Jordan,7.599,2.639
Japan,2,1.2
Kazakhstan,4.495,3.012
Kenya,7.651,3.208
Kyrgyz Republic,5.309,2.7
Cambodia,6.313,2.579
Kiribati,6.441,3.147
St. Kitts and Nevis,6.541,1.505
"Korea, Rep.",5.994,0.721
Kuwait,7.223,1.524
Lao PDR,6.292,2.421
Lebanon,5.877,2.239
Liberia,6.391,3.95
Libya,7.509,2.355
St. Lucia,6.767,1.379
Latin America & Caribbean,5.86928989560833,1.79507250413994
Least developed countries: UN classification,6.59812881608925,3.96127401392912
Liechtenstein,2.779,1.45
Sri Lanka,5.352,1.974
Lesotho,5.784,2.694
Late-demographic dividend,4.37563343473696,1.26925608297546
Lithuania,2.56,1.18
Luxembourg,2.29,1.25
Latvia,1.94,1.36
"Macao SAR, China",4.957,0.586
St. Martin (French part),6.389,2.718
Morocco,6.887,2.23
Monaco,2.812,2.11
Moldova,3.315,1.731
Madagascar,7.343,3.972
Maldives,6.713,1.575
"Middle East, North Africa, Afghanistan & Pakistan",6.94826640195092,3.00810110726487
Mexico,6.763,1.91
Marshall Islands,8.077,2.919
North Macedonia,3.826,1.5
Mali,7.019,5.614
Malta,3.62,1.06
Myanmar,5.901,2.115
Montenegro,3.532,1.74
Mongolia,6.817,2.7
Northern Mariana Islands,5.958,2.348
Mozambique,6.312,4.763
Mauritania,6.149,4.697
Mauritius,5.897,1.39
Malawi,7.042,3.648
Malaysia,6.412,1.55
North America,3.66813374560788,1.57842091532655
Namibia,6.243,3.212
New Caledonia,5.436,1.98
Niger,7.53,6.061
Nigeria,6.364,4.482
Nicaragua,7.159,2.218
Netherlands,3.12,1.43
Norway,2.85,1.4
Nepal,6.069,1.984
Nauru,5.337,3.331
New Zealand,4.24,1.56
OECD members,3.29166295110634,1.49136107874467
Oman,7.277,2.525
Other small states,4.43553319926391,2.03788095511404
Pakistan,6.8,3.605
Panama,5.829,2.119
Peru,6.941,1.98
Philippines,6.996,1.916
Palau,7.189,1.907
Papua New Guinea,6.018,3.099
Poland,2.98,1.158
Pre-demographic dividend,6.56663079057346,4.55928980464074
Puerto Rico (US),4.796,0.92
"Korea, Dem. People's Rep.",3.568,1.78
Portugal,3.16,1.44
Paraguay,6.5,2.422
Pacific island small states,6.73252609084681,3.02800394339178
Post-demographic dividend,2.90442808882196,1.39632327539098
French Polynesia,5.931,1.501
Qatar,6.531,1.729
Romania,2.34,1.71
Russian Federation,2.52,1.41
Rwanda,8.283,3.698
South Asia,5.99643314493816,1.99556441998933
Saudi Arabia,7.626,2.28
Sudan,6.663,4.323
Senegal,6.996,3.818
Singapore,5.76,0.97
Solomon Islands,7.065,3.557
Sierra Leone,6.175,3.791
El Salvador,6.618,1.775
San Marino,2.428,1.149
"Somalia, Fed. Rep.",7.25,6.132
Serbia,2.155,1.61
South Sudan,7.161,3.864
Sub-Saharan Africa,6.57175107156462,4.33242043176509
Small states,5.04865766924653,2.12274160818728
Sao Tome and Principe,6.242,3.644
Suriname,6.59,2.249
Slovak Republic,3.04,1.49
Slovenia,2.185,1.51
Sweden,2.17,1.45
Eswatini,6.752,2.753
Sint Maarten (Dutch part),4.767,1.447
Seychelles,5.313,2.02
Syrian Arab Republic,7.505,2.712
Turks and Caicos Islands,5.991,1.463
Chad,6.25,6.12
East Asia & Pacific (IDA & IBRD countries),4.85337152270027,1.35619349886656
Europe & Central Asia (IDA & IBRD countries),3.11774782563366,1.72759819616869
Togo,6.797,4.192
Thailand,6.325,1.212
Tajikistan,6.235,3.072
Turkmenistan,6.59,2.69
Latin America & the Caribbean (IDA & IBRD countries),5.94699989004709,1.80414192300781
Timor-Leste,6.319,2.707
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",6.98920934561558,3.08266683185516
Tonga,6.651,3.129
South Asia (IDA & IBRD),5.99643314493816,1.99556441998933
Sub-Saharan Africa (IDA & IBRD countries),6.57175107156462,4.33242043176509
Trinidad and Tobago,5.405,1.532
Tunisia,7.157,1.832
Turkiye,6.383,1.51
Tuvalu,5.146,3.208
Tanzania,6.536,4.606
Uganda,6.905,4.283
Ukraine,2.285,0.977
Uruguay,2.827,1.409
United States,3.654,1.6165
Uzbekistan,6.613,3.5
St. Vincent and the Grenadines,7.247,1.775
"Venezuela, RB",6.382,2.079
British Virgin Islands,4.812,1.045
Virgin Islands (U.S.),5.149,1.98
Viet Nam,6.273,1.913
Vanuatu,6.784,3.596
Samoa,7.779,3.829
Kosovo,6.359,1.545
"Yemen, Rep.",7.988,4.59
South Africa,6.105,2.216
Zambia,6.947,4.101
Zimbabwe,7.195,3.724
